,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
Rpl22,1970.51471,0.16678378,0.134042219,1.244263042,0.213402768,0.79736274,1636,3273.6
Dand5,13.37154281,1.80645982,1.452455243,1.243728389,0.213599544,0.797731275,11.9,11.7
Gm12454,3.996931126,-3.070878586,2.469354748,-1.243595554,0.213648453,0.797731275,0.7,15.4
Gm44141,17.72254258,1.893665214,1.52300108,1.243377459,0.213728773,0.797731275,23.8,11.9
Ndufaf6,16.82105544,-1.163571974,0.935793719,-1.24340648,0.213718083,0.797731275,12,41.4
Rab5if,80.21616736,0.713465305,0.573907836,1.243170522,0.213805003,0.797803618,54.6,109.2
Cry1,51.22245835,0.820477385,0.660284481,1.242611947,0.214010865,0.797935303,59.5,70.1
Gm16575,29.64796888,1.11792813,0.899621206,1.242665382,0.213991166,0.797935303,31.9,34.2
Gm37589,87.65994448,0.583938777,0.469874422,1.242754978,0.213958138,0.797935303,69.6,126
Atp6ap1,245.0692416,-0.332130003,0.26736074,-1.2422542,0.214142788,0.798003156,177.3,471.7
Esm1,30.12770539,-1.166353794,0.938892103,-1.24226606,0.214138413,0.798003156,10.8,71.9
A430110C17Rik,24.94424199,1.368364842,1.102103719,1.241593525,0.214386572,0.798031835,19.1,23.9
D830050J10Rik,11.35812593,2.187251979,1.761704985,1.241554061,0.21440114,0.798031835,23.1,8.5
Gm6225,81.85027088,-0.691789211,0.557210188,-1.241522904,0.214412642,0.798031835,43.6,180.6
Rps15a-ps1,2.333458628,1.28410208,1.034345937,1.241462875,0.214434805,0.798031835,2.5,2.4
Zfp64,41.40234937,-0.940296464,0.757350323,-1.241560789,0.214398657,0.798031835,40.7,96.6
Pfdn1,255.2648871,0.397245294,0.320411018,1.239799107,0.215049708,0.800108062,219.7,397.6
Gm26870,20.28750381,1.136951716,0.917306063,1.23944642,0.215180219,0.800381447,18.6,20.5
Mtcl1,2.287505036,1.784430124,1.440097014,1.239104106,0.215306947,0.800452364,1.8,1.8
Zfp516,37.92346395,1.119891413,0.903803851,1.23908679,0.215313359,0.800452364,42.9,40.5
Gm38375,7.808166296,2.852827926,2.303918487,1.238250373,0.215623239,0.800755897,10.7,3.3
Mvp,133.1428543,-0.613638993,0.495543993,-1.238313856,0.215599708,0.800755897,104,298.9
Rmc1,92.71129428,-0.513977917,0.414941416,-1.238675865,0.21546556,0.800755897,63.7,190.7
Zmym5,202.2970711,0.388084705,0.313377552,1.238393443,0.215570211,0.800755897,152.9,302.3
Trappc11,92.84812229,0.640058696,0.517030307,1.237951987,0.215733864,0.800954776,83.2,129.9
Bag4,95.86616179,-0.702280348,0.567803877,-1.236836126,0.216147927,0.802177853,73.5,205.2
Rhob,91.04309326,0.545394738,0.440997818,1.23672888,0.216187753,0.802177853,76.9,123.8
Ttc14,725.589769,0.206121633,0.166683853,1.236602278,0.216234774,0.802177853,549.6,1192.2
1700021A07Rik,4.568349693,-2.466825439,1.996137392,-1.235799424,0.216533129,0.80227052,1.5,13.3
Gm42571,110.4274403,0.504112283,0.407761261,1.236292731,0.216349772,0.80227052,93.6,167.2
Gm43481,51.46207287,0.913488292,0.739181215,1.235811022,0.216528817,0.80227052,41.6,63.2
Irf2bp1,89.96189255,-0.597415371,0.483570487,-1.235425624,0.216672141,0.80227052,68.9,190.5
Krt10,17.28610641,1.782655178,1.443089316,1.235304814,0.216717083,0.80227052,18.8,12.5
Ppargc1b,65.35263781,0.97952044,0.792734735,1.235621951,0.216599121,0.80227052,55.1,78.4
Stx7,102.9403824,0.558623095,0.452103528,1.235608794,0.216604014,0.80227052,110.5,142.6
Tuba1a,113.222678,0.614418072,0.49731828,1.235462473,0.216658435,0.80227052,109.9,161.9
Mustn1,5.181208924,-2.148176592,1.739388473,-1.235018298,0.216823694,0.802453514,0.7,14.7
Gm13091,5.213115628,2.670918566,2.163146194,1.23473789,0.21692807,0.802628138,10.6,3.5
a,3.456717884,2.10952112,1.708828152,1.234484063,0.217022582,0.802676586,5.4,1.8
Pbxip1,794.995384,-0.180454212,0.14620651,-1.234241979,0.217112749,0.802676586,549.4,1488.2
Psmc3,466.6333761,-0.249501731,0.202140088,-1.234301092,0.217090729,0.802676586,346.4,882.5
Gm18078,11.02531785,1.442899242,1.170091433,1.233150847,0.21751949,0.802911236,8.4,10.4
Gm44816,12.04574271,-1.283398376,1.040732023,-1.233168911,0.217512752,0.802911236,9.2,29.4
Pcnt,282.6391623,-0.337915391,0.273879507,-1.233810428,0.217273553,0.802911236,185.4,548.3
Serpinb6a,298.9541782,-0.287386328,0.232975805,-1.23354581,0.217372197,0.802911236,224.1,575.2
Tmem229b,132.9084869,-0.483578554,0.392092291,-1.233328391,0.21745327,0.802911236,87.1,266.5
Zfp787,50.72137827,0.701256191,0.568396285,1.233745205,0.217297863,0.802911236,50.5,65.3
Dr1,63.42995269,-0.612557104,0.496887196,-1.232789069,0.217654471,0.802987077,50.7,137.3
Nrros,136.3905466,0.607858051,0.493023074,1.232920086,0.217605581,0.802987077,124,179.5
Gm48880,26.44630498,1.354288445,1.098715887,1.232610232,0.217721218,0.803007738,36.1,29.2
Plk4,130.0724043,0.53832685,0.436787875,1.232467477,0.217774508,0.803007738,97,186
Apip,33.1769071,-1.143149542,0.929250649,-1.230184283,0.218628104,0.803228664,28.4,80.8
Bcl7b,135.1404656,-0.454681364,0.3696125,-1.230156891,0.218638359,0.803228664,103.5,278.5
Dcaf13,164.9082453,0.375467799,0.304928588,1.231330267,0.218199366,0.803228664,146.7,251.4
Derl2,186.8237255,-0.455922873,0.370284576,-1.231276977,0.21821929,0.803228664,127.9,373.8
Dnm3,10.99316542,2.116703867,1.718220935,1.231916003,0.217980463,0.803228664,12.2,6.2
Gm13420,13.66686426,2.331283548,1.894404023,1.230615813,0.218466588,0.803228664,8.6,8.3
Gm43863,10.62529969,2.044343989,1.661319532,1.230554357,0.218489585,0.803228664,9.4,7.7
Gm47258,34.66523983,1.52562626,1.238242952,1.232089597,0.217915617,0.803228664,26.6,33.4
Ibtk,151.9796638,0.347506935,0.282107669,1.23182378,0.218014918,0.803228664,127.3,229.7
Khnyn,186.4166638,-0.426187212,0.34632851,-1.230586565,0.218477532,0.803228664,115.8,388.4
Nae1,209.9325373,-0.411655932,0.334408232,-1.230998201,0.218323537,0.803228664,133.6,407.5
Srrm1,1548.32526,0.166666143,0.13546171,1.230356113,0.21856378,0.803228664,1266.5,2585
Ssna1,112.2239246,-0.478950413,0.389387059,-1.230011121,0.21869294,0.803228664,71.2,233.3
Tjp3,26.47493367,-1.073029906,0.87176725,-1.230867421,0.218372454,0.803228664,20.1,68.4
Wbp1,109.8597995,-0.599771655,0.487109229,-1.231287809,0.21821524,0.803228664,71.5,229.1
Atad1,190.0130922,-0.386656613,0.314500021,-1.229432709,0.218909613,0.80333914,142.7,386.7
Gm22748,16.59089104,1.335737184,1.08725837,1.228537044,0.219245432,0.80333914,14.9,16.8
Gm47834,58.36252071,0.947272602,0.770862286,1.228848031,0.219128789,0.80333914,39.9,73.8
Gm7860,3.367123194,-1.294328354,1.053389771,-1.228726906,0.219174215,0.80333914,1.6,8.3
Ift46,83.91810736,-0.708354119,0.576389213,-1.228951034,0.219090165,0.80333914,50.7,183.3
Lsm14b,138.036066,0.462641014,0.376471319,1.228887807,0.219113873,0.80333914,116.3,197.5
P3h1,18.08002412,1.668959975,1.358775194,1.228282635,0.219340887,0.80333914,21.1,14.1
Phgdh,88.0053808,0.696340882,0.566936865,1.228251196,0.219352685,0.80333914,87.5,126.5
Puf60,512.4128107,-0.241160517,0.196323651,-1.228382397,0.219303453,0.80333914,357,976.5
Rps21,4644.906759,0.150773693,0.122724892,1.228550225,0.219240488,0.80333914,3938.7,7687.7
Smndc1,267.7357868,0.446600271,0.363395948,1.228963265,0.21908558,0.80333914,218.8,397.3
Zfp689,15.63691936,-1.300363167,1.059029145,-1.227882323,0.219491146,0.803636511,6.6,38.2
Ccdc146,4.321720417,-3.318088446,2.703331535,-1.227407147,0.219669602,0.803870454,0.7,12.9
Gm16333,3.186692765,-3.47503779,2.830902198,-1.227537211,0.219620745,0.803870454,0.5,11.1
Hopx,276.8833071,0.273663425,0.223027411,1.227039421,0.219807775,0.804108689,224.1,446.2
Ubr3,173.501372,0.333626336,0.271919851,1.226928948,0.219849297,0.804108689,150.3,271.2
Zfp595,31.52824587,-1.01365881,0.826479773,-1.226477456,0.220019054,0.804519907,12.7,75.4
Gm7691,7.3844764,-1.482388914,1.208961126,-1.22616756,0.220135626,0.804736488,4.2,18.6
4930402H24Rik,67.61206293,-0.720372852,0.587882711,-1.225368324,0.220436476,0.804867527,41.9,151.6
Bhlhb9,33.4213414,-0.995094746,0.812078933,-1.225367025,0.220436965,0.804867527,19.8,75.2
Dhx34,43.45022827,-0.692433877,0.565179106,-1.225158308,0.22051558,0.804867527,27.4,86.8
Pak2,873.1275395,0.190745849,0.155682597,1.225222685,0.220491329,0.804867527,706.6,1450.6
Rnf11,160.4172211,-0.461611155,0.376682428,-1.225465061,0.220400046,0.804867527,109.1,321.3
Ttyh3,170.3987941,0.538682591,0.439656183,1.225236019,0.220486307,0.804867527,167.5,245
Arfgap2,2.31905054,-3.246586808,2.651797841,-1.224296497,0.220840398,0.804943292,0.2,7.9
Gm48586,6.534633885,2.873852184,2.347300819,1.224322064,0.220830757,0.804943292,9.6,2.7
Irgq,33.87357442,-0.838850861,0.685095523,-1.224429051,0.220790416,0.804943292,21.4,76.9
Mef2d,299.8130245,-0.348392407,0.284590092,-1.224190221,0.220880477,0.804943292,187.6,588.6
Nptn,279.5524947,0.304512923,0.248636723,1.224730278,0.220676862,0.804943292,246.7,475.3
Slc25a19,117.3577837,-0.564925785,0.461355704,-1.224490736,0.220767159,0.804943292,73.8,247.7
Entpd5,108.2579414,0.565319182,0.46202536,1.223567428,0.221115453,0.805590413,78.9,168.7
Hhex,36.69606724,1.177890119,0.963094477,1.223026553,0.221319667,0.805613151,51.5,37.2
Mphosph6,96.6953922,-0.482896428,0.394962433,-1.222638882,0.221466121,0.805613151,68.5,193.2
Mrps27,17.30156092,-1.228305049,1.004613815,-1.222663904,0.221456666,0.805613151,12.9,43.8
Ska1,42.45545155,0.737474363,0.602993635,1.223021803,0.221321461,0.805613151,36.9,57
Tma7-ps,2.545566583,1.473673897,1.204990174,1.222975862,0.221338813,0.805613151,3.2,2.4
Zfp110,94.18383538,0.585768111,0.479060379,1.222743807,0.221426475,0.805613151,76,135.7
Ppp1ca,671.8459101,-0.224663382,0.183792009,-1.222378403,0.221564562,0.805762392,507.2,1291.9
Tardbp,768.5630315,0.253015274,0.20702727,1.222135011,0.221656575,0.80588818,617.1,1225.6
Ranbp2,633.8144361,0.231354216,0.189371563,1.221694599,0.22182314,0.806284885,489.2,1050.6
Cuta,314.3155333,-0.296060281,0.242385484,-1.221443939,0.221917979,0.806420747,210.2,602.6
Txndc17,321.1966686,0.316064099,0.25893567,1.220627884,0.222226944,0.807334436,293.8,497.8
1700006J14Rik,4.85201436,3.18585241,2.611837067,1.21977456,0.222550348,0.807385878,10.8,2.3
Gm12254,3.894262027,-1.087745759,0.892229138,-1.219132746,0.222793813,0.807385878,14,9.3
Kdm4c,96.38982004,0.687815511,0.564003989,1.219522422,0.222645971,0.807385878,80.9,144.6
Lhx2,3.169165263,-2.777610053,2.277508361,-1.219582812,0.222623065,0.807385878,0.8,11
Mxra8,29.52192311,1.584401701,1.299105118,1.219610083,0.222612722,0.807385878,56,23.9
Scarna2,27.23160393,1.071418373,0.878604833,1.219454221,0.222671841,0.807385878,25,31.6
Slc35g1,58.22144849,-0.771091206,0.631982596,-1.22011462,0.222421427,0.807385878,35.1,134.7
Slc5a3,92.29716712,0.748722991,0.614285773,1.218851264,0.22290065,0.807385878,94.5,122.8
Sp100,2139.634682,0.143724334,0.117905963,1.218974258,0.222853963,0.807385878,1661.5,3656.4
Tasor2,228.9774204,0.384403318,0.315402655,1.218770076,0.222931472,0.807385878,179.4,336.7
Tmem171,22.85199481,-1.165534195,0.95532066,-1.220045001,0.222447816,0.807385878,14.1,57.2
Tpm2,15.25231786,1.673083825,1.372288217,1.219192736,0.222771049,0.807385878,32.6,13.7
Rpl17-ps4,8.328266837,-1.236001362,1.014284722,-1.218594084,0.222998296,0.807419525,3.8,22.2
Pgp,142.7246284,0.418009137,0.343177012,1.218056928,0.22320234,0.807949868,138.3,217.3
Cd2,1309.844235,-0.213698916,0.175486778,-1.217749381,0.223319225,0.80816452,808.5,2499.5
Gpm6b,140.2604455,0.537734988,0.441742501,1.21730417,0.223488508,0.808264705,117.2,199
Rps14,4173.132445,0.113691899,0.093384941,1.217454309,0.223431411,0.808264705,3470.1,6987.5
Zfp777,54.34524792,-0.607323851,0.498942473,-1.217222191,0.223519689,0.808264705,36.8,115.2
Hyi,52.85853181,-0.86758433,0.712880458,-1.217012362,0.223599512,0.808345068,40.3,116.6
A630001G21Rik,133.842891,0.484577904,0.398393436,1.21633004,0.223859223,0.808450935,96.1,206.8
A730017L22Rik,9.814243864,2.198118277,1.806717254,1.216636567,0.223742524,0.808450935,14.9,6.2
Gins2,33.3200518,1.102431092,0.906319289,1.216382687,0.223839176,0.808450935,38.9,34.6
Mex3b,32.7627618,1.275410387,1.048533302,1.21637566,0.223841852,0.808450935,20.5,36
AC149090.1,1162.206926,-0.186122892,0.153067241,-1.215955097,0.224002028,0.808738187,822.8,2122.4
Ggps1,151.7879588,-0.473781731,0.389681253,-1.215818639,0.224054017,0.808738187,102.4,310
Tsen54,20.12681104,0.933607475,0.767994644,1.215643211,0.224120866,0.808771466,20.5,24
Cbx3,65.94656691,0.610634237,0.502711975,1.214680111,0.224488121,0.809264396,54.7,94.4
Ets2,96.04759546,0.570634545,0.469717207,1.214847013,0.224424446,0.809264396,85.7,133
Ltn1,190.7555667,0.369734102,0.304323757,1.214936702,0.224390234,0.809264396,169.5,296.4
Pcyox1,26.5146994,-1.221369372,1.005416468,-1.214789504,0.224446385,0.809264396,23.2,64.8
Gm5270,3.437243793,1.045855418,0.861165749,1.214464718,0.224570315,0.8093528,5.5,4.1
Gm9013,8.637147258,-1.440522974,1.186302571,-1.214296427,0.224634549,0.809376448,4.8,21.3
Gm16337,14.79104588,3.516746601,2.896641249,1.214077374,0.224718179,0.80946995,16.2,4.1
Dlx1as,3.684335367,-3.017191616,2.487437559,-1.212971801,0.225140602,0.810467489,1.1,13.1
Naip5,52.79735814,-0.989255296,0.815423774,-1.213179365,0.225061252,0.810467489,40.7,113.1
Psen1,212.6956192,-0.481711415,0.397157003,-1.212899209,0.225168358,0.810467489,146.5,420.6
Hectd3,110.3220919,0.465741688,0.384047363,1.212719399,0.22523712,0.810507115,105.3,168.2
Tmem185b,50.8184921,-0.831048593,0.685401557,-1.212498839,0.225321487,0.810602857,35.9,113
1810062G17Rik,2.211015973,-3.588400158,2.960051965,-1.212276068,0.225406722,0.810701673,0.1,8.4
Furin,263.9908645,0.290181379,0.239414337,1.21204679,0.22549447,0.810809479,243.4,418
Gm17235,5.001886188,-2.920955453,2.410449237,-1.211788827,0.225593226,0.810956798,1.3,13.6
Adam8,366.5169279,-0.584150011,0.483076284,-1.20922933,0.226574753,0.811017551,233,780.7
Anxa7,282.3257916,-0.319310675,0.263666905,-1.211038129,0.225880792,0.811017551,173.4,551.1
Arsk,36.14847211,0.999488605,0.825564465,1.210672996,0.226020756,0.811017551,37.5,44.3
C130036L24Rik,32.62068695,1.438549886,1.190413564,1.208445477,0.226875956,0.811017551,31,27.6
Cap1,694.6702659,0.225090741,0.186269645,1.208413433,0.226888275,0.811017551,593.1,1139.2
Denr,368.1786599,-0.38851659,0.32176055,-1.207471176,0.227250739,0.811017551,262.9,745
Fech,59.41560814,0.879188236,0.727995218,1.207684081,0.227168803,0.811017551,61.8,70.7
Gbp7,1291.953927,-0.134631019,0.111537884,-1.207042968,0.227415597,0.811017551,922.4,2437.6
Gm27010,9.944010745,-2.085886293,1.728390758,-1.206837217,0.22749484,0.811017551,6.1,30.7
Gm29675,2.353619708,3.574926571,2.956601942,1.209133539,0.226611546,0.811017551,5.9,0.9
Gm42748,135.5747323,-0.366175678,0.302706797,-1.209671143,0.226405107,0.811017551,98.4,258.2
Gm48086,37.29028815,1.020926023,0.844125391,1.209448304,0.226490661,0.811017551,28.6,42.3
Kdm2b,224.5171374,-0.348974916,0.28876975,-1.208488481,0.226859424,0.811017551,129.9,447
Mapk6,217.7073492,0.439740649,0.363160642,1.210870887,0.225944892,0.811017551,182.4,341
Mib2,77.90289795,0.593375916,0.490136044,1.210635135,0.226035272,0.811017551,87.6,108.5
Mpg,12.9119768,-1.595549205,1.319327427,-1.209365599,0.226522419,0.811017551,7.1,34.8
Mrps25,108.8210313,0.51495383,0.426530049,1.207309618,0.227312928,0.811017551,91.3,153.9
P3h4,13.98159238,2.252407551,1.865597533,1.207338405,0.227301846,0.811017551,32.9,11.4
Pkn2,323.1809427,-0.375036987,0.310573863,-1.207561332,0.22721604,0.811017551,221.5,638.7
Ppip5k2,227.7706871,0.288895368,0.239163108,1.207942853,0.227069245,0.811017551,176.2,357.5
Rpp25l,74.39388654,-0.62583009,0.516867808,-1.210812669,0.225967209,0.811017551,62.6,165.2
Sap30l,102.0714072,-0.420999829,0.348731021,-1.207233668,0.227342168,0.811017551,67.3,213.5
Sbds,284.2817845,-0.262816469,0.217307951,-1.209419483,0.226501727,0.811017551,190.2,541.9
Serpinc1,2.055409757,-3.575400217,2.960479848,-1.207709696,0.227158947,0.811017551,0.1,6.1
Slc35a1,72.13336247,-0.691226029,0.572785822,-1.206779223,0.22751718,0.811017551,38.4,146.7
Smim4,147.6065915,0.477799277,0.395865817,1.206972809,0.227442616,0.811017551,130.4,225.1
Snora31,9.795388888,-1.664558295,1.377463412,-1.208422874,0.226884646,0.811017551,5.3,24.2
Sos2,217.1100508,0.446564129,0.369350246,1.209053286,0.226642374,0.811017551,189.8,322.5
Speg,4.41494219,1.031203484,0.851715319,1.210737275,0.225996112,0.811017551,4,5.4
Spout1,24.81921316,1.045627429,0.865672769,1.207878388,0.227094044,0.811017551,22.9,30.4
Traf6,151.5936002,0.521829026,0.431713883,1.208738116,0.226763473,0.811017551,114.8,221.6
Txnrd1,234.8120182,0.313449087,0.259422902,1.208255263,0.226949091,0.811017551,190.8,370.8
Wrnip1,113.86098,-0.586734823,0.484552287,-1.21088031,0.22594128,0.811017551,79.9,240.7
Gm45153,46.65684615,1.004744146,0.832976458,1.206209535,0.227736708,0.811261313,44.8,55.4
Spg21,235.5449018,-0.328167034,0.272077733,-1.206151752,0.227758983,0.811261313,168.6,469.3
Znrd1,224.902833,0.340589926,0.282313519,1.206424432,0.22765388,0.811261313,188,354.3
Ncoa4,38.62033232,1.137114259,0.942997396,1.2058509,0.227874985,0.811468547,25.2,36.8
Phykpl,84.22416425,0.847793058,0.703446927,1.205198324,0.228126749,0.812159005,74.4,115
Dock2,1918.027163,-0.185896918,0.154325592,-1.20457609,0.228366992,0.812190158,1253.9,3659.9
Ppp2r3c,26.69414015,-1.032906209,0.857261216,-1.204890867,0.228245435,0.812190158,17,63.4
Tsen15,8.379537375,-1.460290153,1.212281254,-1.20458033,0.228365354,0.812190158,5.6,20
Zbtb37,49.91861994,0.693247258,0.575442419,1.204720464,0.228311233,0.812190158,42,65.8
Actr1a,213.9236786,-0.266912332,0.221899496,-1.202852358,0.229033459,0.812599914,157.8,419.1
Akap17b,36.75074245,1.002125475,0.833503365,1.202305253,0.229245282,0.812599914,35.8,45.8
Dctd,10.09357333,1.71392914,1.42589676,1.202000866,0.229363193,0.812599914,18.3,11.3
Enpp5,12.46504063,-1.491552347,1.23912148,-1.203717611,0.228698743,0.812599914,8.8,31.1
Fcrl6,52.73302295,-1.033974412,0.860294988,-1.201883571,0.22940864,0.812599914,28.1,114.5
Gm34093,5.182304497,2.632259424,2.188529109,1.202752759,0.229072011,0.812599914,7.7,2.5
Golph3,244.8935459,-0.441377969,0.367015847,-1.202612838,0.229126177,0.812599914,187.3,497.1
Guf1,88.16863134,-0.606143714,0.504272182,-1.202016957,0.229356958,0.812599914,47.3,185.8
Hspg2,18.84649568,1.778345869,1.479108031,1.202309656,0.229243577,0.812599914,40.3,12.6
Itgb1bp1,172.6283328,0.31387971,0.260771698,1.203657116,0.228722134,0.812599914,154.5,274.9
Kmt2d,620.5488987,0.219497228,0.18247563,1.202885159,0.229020764,0.812599914,471.8,1007.1
Lrrfip1,1035.216148,0.193335046,0.160818195,1.202196342,0.229287466,0.812599914,809.7,1732.8
Mpzl3,56.4701918,0.821814334,0.682595812,1.203954552,0.228607145,0.812599914,52.9,67.5
Rad51,78.53679229,-0.686283439,0.570426272,-1.203106297,0.228935189,0.812599914,54.3,179.2
Spag9,573.1734333,0.236535116,0.196556552,1.203394716,0.228823612,0.812599914,436.6,934.6
Ttc23,9.35263982,2.509997048,2.087430174,1.202434016,0.229195417,0.812599914,20,4.6
Cox5a,245.4958333,-0.334919741,0.278742488,-1.201538176,0.229542507,0.81266386,188.2,497.4
Gm26563,33.08656887,1.053560161,0.876779514,1.201624975,0.229508861,0.81266386,32.8,39.7
Gm5547,117.5816775,-0.714797555,0.595282076,-1.200771172,0.229839977,0.812691923,74.4,256.8
Lman1,190.817056,0.428633609,0.356941669,1.200850578,0.229809168,0.812691923,186.6,279.7
Rpl32,1941.996651,0.158097696,0.131625354,1.201118872,0.229705094,0.812691923,1667.5,3213.8
Slc29a3,101.3536135,0.595656653,0.495868226,1.201239809,0.229658191,0.812691923,106.7,135.5
Tdrd3,48.61986131,-0.86371647,0.719231725,-1.200887614,0.2297948,0.812691923,34.3,110.9
Apba1,2.412233271,-2.870987063,2.397018748,-1.197732419,0.231021204,0.812976826,0.5,7.3
Dnase1l1,62.20356892,1.064394729,0.887149367,1.199792018,0.230220125,0.812976826,48.1,67.5
E130309D02Rik,47.61067227,-0.80658579,0.673100291,-1.198314427,0.230794632,0.812976826,31.6,112.5
Fam111a,438.0357154,0.204596372,0.170696326,1.198598568,0.230684075,0.812976826,333.2,732.8
Fam219a,4.822786668,-1.423861108,1.187064788,-1.199480536,0.230341149,0.812976826,6.6,12.9
Gm26510,35.15947812,0.892577636,0.74469593,1.198579985,0.230691305,0.812976826,34.2,39.2
Gm43065,424.4426461,0.341210498,0.284491858,1.199368235,0.230384794,0.812976826,338,676.6
Gm43071,16.08814797,1.860335963,1.552787808,1.198061933,0.230892907,0.812976826,11.4,13.3
Gm45223,230.642358,0.368906383,0.307953808,1.197927654,0.230945183,0.812976826,198.4,356.7
Gm47512,6.301742589,2.442590845,2.035498895,1.199996154,0.230140834,0.812976826,8.4,4.3
Gm48627,12.1775156,-1.644907426,1.372270764,-1.19867556,0.230654125,0.812976826,6.6,30.9
Pcdh19,26.55152672,2.318698908,1.934658711,1.198505398,0.230720323,0.812976826,53.1,14
Pomk,18.07616613,1.557954353,1.298529251,1.199783795,0.230223319,0.812976826,20.6,16.9
Sema4d,659.6939324,-0.218333664,0.182250775,-1.197984832,0.230922922,0.812976826,449.8,1277.4
Slc6a6,539.2625293,0.230345024,0.19223302,1.198259401,0.230816047,0.812976826,454.1,895.4
Slc9a6,41.76710761,-0.752195985,0.627325269,-1.199052586,0.230507499,0.812976826,25.6,90.4
Tnfrsf10b,9.070779949,-1.531500936,1.276068207,-1.20017169,0.230072668,0.812976826,2.6,26.7
Ube2f,109.3670393,0.45737559,0.381775862,1.198021235,0.23090875,0.812976826,118.6,159.8
Zfp788,37.77012464,1.205093891,1.006092948,1.197795784,0.230996529,0.812976826,33.1,40.5
Dusp18,31.70547607,0.957176572,0.799734878,1.19686736,0.231358258,0.813790943,33,39.1
Erc1,43.44837605,1.192989454,0.996977526,1.196606165,0.231460096,0.813790943,56.7,44.1
Ncoa1,198.4815038,-0.360982492,0.301647396,-1.196703492,0.231422145,0.813790943,128,389.4
Ppp1r12c,232.1794206,-0.347217728,0.290183935,-1.196543592,0.231484498,0.813790943,173.7,459.9
Cables1,194.0687612,-0.305132923,0.255167315,-1.195815079,0.23176873,0.81401334,125.2,386.4
Coq10b,298.2374962,0.323735979,0.270738897,1.195749789,0.231794216,0.81401334,212,468.7
Elmod3,40.35985246,-0.796255631,0.665680093,-1.196153587,0.231636629,0.81401334,22.4,84
Hist1h2bg,2.756596787,-3.536555245,2.957594613,-1.195753884,0.231792617,0.81401334,7.4,18.9
Rc3h2,443.1886442,-0.220753529,0.184642756,-1.195571024,0.231864004,0.81401334,306.6,849.9
Tmed9,809.5705116,-0.209982226,0.175645373,-1.195489652,0.231895777,0.81401334,651,1568.5
Armh3,59.31129771,-0.791335056,0.662074535,-1.195235603,0.231994992,0.814157969,46.4,131.6
Cavin1,36.64530116,1.25264462,1.048563256,1.194629521,0.23223181,0.814785305,69.7,38.1
1810013L24Rik,162.7797495,0.421207517,0.352788629,1.19393734,0.23250248,0.815238486,154.4,248.9
Kdm6b,579.5780113,0.333546547,0.279386478,1.193853583,0.232535247,0.815238486,463.8,918.9
Mcu,77.79124375,-0.579489493,0.485369292,-1.19391462,0.232511368,0.815238486,44.1,163.9
Aven,85.1471502,0.578951627,0.485151165,1.193342754,0.232735165,0.815286041,77.4,119.9
Gm16214,16.25728879,1.691963423,1.417862788,1.193319577,0.232744238,0.815286041,15.3,12.8
Gm8463,8.966120565,1.980091264,1.658947076,1.193583143,0.232641071,0.815286041,11.5,8.9
Tbcc,40.22289336,0.968080558,0.811314205,1.193225204,0.232781186,0.815286041,37.1,55.9
Bad,66.51692533,0.501369028,0.42032402,1.192815553,0.232941618,0.815440923,67.2,97.1
Gm4799,3.608242518,-1.407277345,1.179783224,-1.192827051,0.232937114,0.815440923,1.3,8.1
Max,435.4922994,0.282500105,0.236922821,1.19237186,0.233115469,0.815846009,369.7,705.6
Cenps,30.18782384,-0.92983153,0.780434965,-1.191427309,0.233485878,0.816043566,26.1,65.1
Cmtm6,324.9095097,0.259213642,0.217503043,1.191770187,0.233351369,0.816043566,318,525.7
Gda,27.57510911,1.542668804,1.294359173,1.191839819,0.233324059,0.816043566,33.1,21.8
Ifi209,361.790825,0.284437783,0.238814235,1.191041995,0.233637099,0.816043566,291,589.6
Kcnn4,358.7082165,0.28823157,0.241880195,1.191629474,0.233406563,0.816043566,363.5,574.3
Lox,32.61977483,2.271882823,1.907356508,1.191115984,0.233608056,0.816043566,31.3,17.8
Spry1,56.80452683,0.987574227,0.828520777,1.191972797,0.233271912,0.816043566,60.8,70.2
St6galnac6,31.63560342,-0.973085011,0.816938304,-1.191136474,0.233600013,0.816043566,18,73.2
9330151L19Rik,11.93053726,-1.248452828,1.04871823,-1.190455922,0.233867245,0.816110587,8.1,31.7
Bhlhe40,1539.108364,-0.19372494,0.162683565,-1.190808304,0.233728848,0.816110587,1037.9,2941
Msl1,403.5925068,-0.322026905,0.270584503,-1.190115849,0.234000862,0.816110587,328.5,807.6
Pcbp2,265.9786962,0.256756126,0.215661812,1.190549791,0.233830372,0.816110587,245.4,420.4
Tlr7,16.58136522,1.469586744,1.234674104,1.190262872,0.233943089,0.816110587,15.8,14.4
Utp6,118.8993107,0.590993232,0.496589232,1.190104805,0.234005202,0.816110587,93.1,171.9
2810403D21Rik,32.23986698,1.088245093,0.915045634,1.189279586,0.234329666,0.816113454,32.6,37.4
Elovl1,236.9472117,-0.337040948,0.283449794,-1.189067536,0.234413092,0.816113454,151.2,453.4
Gm23346,39.91036003,-0.90744192,0.763084484,-1.189176217,0.234370331,0.816113454,25.3,88.9
Gm48233,7.853924946,2.990344306,2.51354282,1.189693003,0.234167077,0.816113454,9,2.2
Gpr157,2.999852386,2.797195025,2.351735064,1.189417578,0.234275387,0.816113454,5.9,1.3
