,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
Nfatc1,924.4963405,-0.523701192,0.132552511,-3.950896037,7.79E-05,0.009933411,536.8,1910.6
Gm20275,9.986823209,-5.868927167,1.492459813,-3.932385391,8.41E-05,0.01060647,0.1,31.9
Gm45380,7.222378804,5.898985222,1.5006896,3.930849672,8.46E-05,0.01060647,8.9,5.8
Gm12739,10.02667215,-3.508618439,0.901007579,-3.894105357,9.86E-05,0.012240853,1.3,35.2
AC148016.1,7.22844985,7.093799435,1.832969927,3.870112287,0.000108785,0.013275583,9.8,0
Cacna2d4,8.34967326,7.013026096,1.812081708,3.870148938,0.000108769,0.013275583,14,0.1
Gm8995,1380.047063,0.71749061,0.18572955,3.863093463,0.00011196,0.013545247,1167.9,1879.5
Osbpl3,626.7207242,-0.807528512,0.209535872,-3.853891485,0.000116255,0.013944655,368.8,1414.6
Il12rb1,136.8605936,-1.272450291,0.331305116,-3.840720315,0.000122674,0.014589868,66,341.6
B930095G15Rik,231.5430418,-1.138291341,0.298014584,-3.819582676,0.000133678,0.015764976,112.9,564.3
Rgcc,296.6398578,1.175517912,0.308944032,3.804954264,0.00014183,0.016555323,305,315.2
Trac,4493.905841,-0.382448858,0.100555155,-3.803373948,0.000142739,0.016555323,2930.2,9036.5
Itgb1,1261.882532,0.657572179,0.173032955,3.800271333,0.000144538,0.016626579,1298.2,1743.5
H2-K1,17512.47854,-0.261256273,0.069268445,-3.771649155,0.000162172,0.018503449,12199.7,33890.1
Prr13,1042.737982,-0.421610334,0.11200112,-3.764340344,0.000166989,0.01889942,690.5,2132.5
Ctla4,1341.673872,-0.88771463,0.236172934,-3.758748373,0.000170765,0.019157827,670.9,3093.1
Gm29488,9.504602964,-5.174751825,1.37811033,-3.75496193,0.000173368,0.019157827,0.3,36.8
Hivep1,198.2557282,1.08511786,0.288834764,3.756881074,0.000172044,0.019157827,177.2,215.8
Dapl1,108.2063405,1.77443137,0.473514761,3.747362311,0.000178704,0.019593204,120.6,83.4
Adgrg1,243.4255403,-1.489046496,0.398204617,-3.73940038,0.00018446,0.019784629,90,643.7
Chd4,1537.769153,0.411819343,0.110138581,3.739101582,0.000184679,0.019784629,1302.4,2321.6
Optn,16.97472977,-4.343588053,1.161221644,-3.74053315,0.00018363,0.019784629,1.6,52.5
Ppp2r2c,131.8467298,-1.523230124,0.407812241,-3.735126049,0.000187621,0.019947544,52.9,335.5
Gpd2,548.9494656,-0.798983806,0.214283438,-3.728630707,0.000192523,0.0203148,324.5,1220.7
Slc16a6,262.7357956,-0.915018034,0.245724042,-3.723762742,0.000196275,0.020556185,136.4,619.2
Tsc22d3,742.9577604,0.887049032,0.239127878,3.709517435,0.000207655,0.021586855,623.7,923
Trip11,685.3393922,0.726501291,0.196197444,3.702909045,0.000213141,0.021994303,568.1,929.1
Brwd3,165.2706833,0.96229092,0.260055747,3.700325526,0.000215323,0.022057256,141.6,203.5
Gm16433,10.57469174,-4.89482045,1.326449521,-3.690167152,0.000224107,0.022790682,0.5,34.6
Arnt2,54.89838558,-2.770290867,0.752593868,-3.680990486,0.00023233,0.02345694,10.7,172.9
Baiap3,210.2608431,-0.983085151,0.267808538,-3.670850666,0.000241745,0.023979103,116.4,487.5
Gm4796,6.947730819,-4.674400852,1.273757618,-3.669772638,0.000242766,0.023979103,0.3,26.7
Psen2,245.6854237,0.78577971,0.214218375,3.668124689,0.000244336,0.023979103,233.2,330.2
Zmynd11,349.8345264,0.786013802,0.214016253,3.672682751,0.000240017,0.023979103,330.4,456.1
Ahnak,3748.386075,0.323603217,0.088496287,3.656686945,0.000255496,0.024866639,3040.1,5949.9
Pik3ip1,128.5553046,1.276572433,0.349242763,3.655258086,0.000256923,0.024866639,136.9,132
Tnks,171.3290799,0.777323223,0.213253047,3.645074397,0.000267314,0.025695145,166.1,225.4
Id2,2977.867984,-0.409211698,0.112471266,-3.638366602,0.000274373,0.026194192,1962.9,6075.8
Il6ra,161.6148143,1.616178782,0.44456507,3.63541558,0.000277533,0.026316867,205.6,136.1
