"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CreN"	"CreP"	"1"	"2"
"245"	"Xrcc1"	132.3829403	0.924937577	0.288143749	3.209986613	0.001327412	0.0760363	117.1	166	0.000201604580245096	1.00015040023294
"246"	"Cxcr4"	446.827706	0.972774412	0.303241891	3.207915665	0.001337007	0.076274618	361.3	547.7	0.000201604577581282	1.00015040023445
"247"	"Kcnq1ot1"	618.40807	0.616650573	0.192443369	3.204322274	0.001353808	0.076920436	536.4	851.2	0.000201604581868797	1.00015040023961
"248"	"Gm23935"	634.9358737	0.800801225	0.250091559	3.202032201	0.001364617	0.077221939	512.1	809.7	0.000201604581868797	1.00015040023961
"249"	"Anp32a"	308.3880438	0.597138577	0.186639341	3.199425014	0.00137702	0.077300397	294.7	442.8	0.000201604581868797	1.00015040023961
"250"	"Gm9752"	6.712576106	6.992182726	2.185434277	3.199447725	0.001376912	0.077300397	13.7	0	0.955551742432625	0.0434039130315066
"251"	"Gm15796"	9.473372002	-3.10644559	0.971860083	-3.196391788	0.00139158	0.077806517	1.6	29.4	0.000201604581883397	1.00015040023961
"252"	"Snx4"	202.0153233	0.91756641	0.287654355	3.189822769	0.001423601	0.079281	200	255.2	0.000201614936191197	1.00015040766723
"253"	"Pbx3"	62.60406855	-2.031172084	0.637613467	-3.185585294	0.001444615	0.080133315	21.7	177	0.000201604581868797	1.00015040023961
"254"	"Fam20a"	144.2457563	-1.398374717	0.43959727	-3.181035943	0.001467494	0.081081944	59.8	370	0.000201604581868797	1.00015040023961
"255"	"Lim2"	6.486779074	-5.522762033	1.738768568	-3.176249062	0.001491928	0.082108697	0	23.9	0.000201604581873127	1.00015040023961
"256"	"Prex1"	1290.185385	-0.407225401	0.12829284	-3.174186499	0.001502571	0.082291077	868.7	2608.7	0.000201604581868797	1.00015040023961
"257"	"Tnfsf14"	54.4018454	1.806801485	0.569369362	3.173338092	0.001506969	0.082291077	61.5	46.4	0.955551992857027	0.0434040273522164
"258"	"Eif3a"	1470.480835	0.473372655	0.149637294	3.16346709	0.00155902	0.083292443	1254.9	2162.9	0.000201604581868797	1.00015040023961
"259"	"Gm47389"	13.56168254	-4.34904832	1.374423553	-3.164270804	0.001554721	0.083292443	1.1	44.4	0.000201604581868242	1.00015040023961
"260"	"Gpr55"	100.6517329	1.777915819	0.561993013	3.163590612	0.001558358	0.083292443	99.8	76.4	0.955551742404005	0.0434039130186395
"261"	"Klrc2"	74.28407384	-1.694612354	0.534843221	-3.168428219	0.001532656	0.083292443	27.7	191.6	0.000201604581868908	1.00015040023961
"262"	"Ly6a2"	15.2838554	5.672955032	1.791168284	3.167181489	0.001539242	0.083292443	10.8	1	0.95555174232118	0.0434039129806977
"263"	"Rpl29"	463.3166007	0.563646578	0.178193626	3.163113012	0.001560917	0.083292443	441.5	654.3	0.000201604581868797	1.00015040023961
"264"	"Itk"	1883.980112	0.3914271	0.123819427	3.161273719	0.001570808	0.083502732	1477.5	2907.2	0.000201604581868797	1.00015040023961
"265"	"Gm47545"	9.529627177	7.491133828	2.371876235	3.158315648	0.001586836	0.08403646	13.8	0	0.955551742437217	0.0434039130336007
"266"	"Dctn6"	188.2328923	-0.814500913	0.258127429	-3.155421791	0.001602662	0.084555498	117.4	426.9	0.000201604581868797	1.00015040023961
"267"	"Zfpm2"	8.344989204	7.004534384	2.220902152	3.153913998	0.001610966	0.084675244	15.2	0.1	0.955551742437819	0.0434039130338744
"268"	"Nedd4"	353.3096379	0.590569801	0.187419468	3.151059	0.001626796	0.085188278	340.4	506.7	0.000201604581868797	1.00015040023961
