"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CreN"	"CreP"	"1"	"2"
"1854"	"Fam13b"	218.6873547	0.858301583	0.483632059	1.77469952	0.075947515	0.574650903	171.8	277.4	0.000201602740632245	1.00015039839768
"1855"	"Stt3a"	307.7512433	-0.600098259	0.338151452	-1.77464345	0.075956778	0.574650903	250.4	665.5	0.000201604581868797	1.00015040023961
"1856"	"1700030C10Rik"	2.998575732	-3.443421966	1.941253928	-1.773813264	0.076094043	0.574850946	5.2	11.1	0.000201604617051321	1.0001504002586
"1857"	"5830468F06Rik"	24.88713287	1.641530139	0.925494102	1.773679741	0.076116139	0.574850946	29.7	21.6	0.955551731915655	0.0434039082489908
"1858"	"E430024I08Rik"	25.21545575	2.157987235	1.216569965	1.773829123	0.076091419	0.574850946	28.2	17.4	0.955551729300887	0.0434039070448074
"1859"	"Isoc2b"	15.01499166	2.008676699	1.132610501	1.773492915	0.076147065	0.574850946	18.4	10	0.955551721110337	0.0434039033108409
"1860"	"Gm45407"	30.45328185	-1.802043195	1.016364423	-1.773028605	0.076223967	0.575122126	17.6	84	0.000201604581868464	1.00015040023961
"1861"	"Tnfrsf26"	52.27871233	1.420035777	0.801245496	1.772285503	0.076347176	0.575742222	74.7	54.6	0.95555302756468	0.0434045008226898
"1862"	"Insm1"	3.075011536	5.257285256	2.967046655	1.771891672	0.076412541	0.575925673	3.2	4.2	0.955551648374312	0.0434038701276367
"1863"	"Slc37a2"	153.3018923	-0.671206327	0.378893888	-1.771488926	0.076479433	0.576120428	94.7	336.5	0.000201604581868797	1.00015040023961
"1864"	"Cdk5r1"	7.347918407	-3.153862626	1.780857976	-1.770979308	0.076564143	0.576449131	1.5	23.5	0.000201604581455128	1.0001504002389
"1865"	"AC119228.1"	102.6923462	0.899239839	0.508109188	1.769776772	0.076764335	0.577039749	83.7	126.5	0.000201602434056702	1.00015039813979
"1866"	"Gm15013"	6.883655721	2.148085163	1.213767122	1.769767136	0.076765941	0.577039749	5.4	3.9	0.955551508369737	0.043403806256339
"1867"	"Ttc1"	149.787536	-0.538071192	0.303978805	-1.77009444	0.07671141	0.577039749	81.1	313.5	0.000201604581868464	1.00015040023961
"1868"	"Atl2"	93.7222579	-0.92519253	0.523152309	-1.76849555	0.076978096	0.577307435	52	219.4	0.000201604581868797	1.00015040023961
"1869"	"Gm156"	196.6224886	-0.816975751	0.462006441	-1.768321128	0.077007234	0.577307435	148.6	444.6	0.000201604581868797	1.00015040023961
"1870"	"Gm36933"	227.0123889	0.563751537	0.318766204	1.768542365	0.076970276	0.577307435	194.2	318.8	0.000201604581868797	1.00015040023961
"1871"	"Gm38211"	1.994623599	5.257324588	2.972134841	1.768871491	0.076915323	0.577307435	10.4	0	0.955551740325212	0.0434039120707159
"1872"	"Xrcc4"	34.80156675	-1.147999301	0.649198289	-1.768333835	0.077005111	0.577307435	15.2	80.6	0.000201604579994907	1.00015040023735
"1873"	"Plagl1"	13.86689349	2.647283823	1.497610054	1.767672309	0.077115702	0.577604576	29.6	8.4	0.955552755722365	0.0434043762577467
"1874"	"Spc24"	66.68180132	-0.878606964	0.497064428	-1.767591712	0.077129185	0.577604576	38.6	166	0.000201604581868797	1.00015040023961
"1875"	"Asns"	41.94921329	1.7272158	0.97729427	1.76734465	0.077170526	0.577605957	63	38.7	0.955553031061561	0.0434045024241815
"1876"	"AU041133"	42.75236084	1.465918729	0.829742899	1.766714402	0.07727607	0.577769912	37.8	42.6	0.000203253081170585	1.00015067328662
"1877"	"Ep400"	715.4999187	0.2437414	0.137981682	1.766476508	0.077315939	0.577769912	578.4	1171.9	0.000201604581868797	1.00015040023961
"1878"	"Paics"	400.9358241	0.36551726	0.206898289	1.766651924	0.077286539	0.577769912	375.8	616.4	0.000201604581868797	1.00015040023961
"1879"	"1700001L05Rik"	8.767736741	3.281717355	1.858602148	1.765691145	0.077447679	0.577818874	12.8	3.5	0.955551734848586	0.0434039095739022
"1880"	"Atxn2l"	558.1575097	-0.344335138	0.195333696	-1.762804603	0.077933451	0.577818874	406.5	1107.3	0.000201604581868797	1.00015040023961
"1881"	"Chst10"	64.37452373	-1.07776159	0.611403908	-1.762765293	0.077940083	0.577818874	31.4	154.6	0.000201604581866355	1.0001504002396
"1882"	"Cln5"	104.9908025	0.910077257	0.516215627	1.762978898	0.077904049	0.577818874	78.1	128.6	0.000201602391576461	1.0001503981048
"1883"	"Fzd2"	18.84756537	2.500996308	1.417667695	1.764162588	0.07770461	0.577818874	28.4	9.6	0.955551749599952	0.0434039163022639
"1884"	"Gm16310"	41.26895058	2.011686401	1.139729017	1.765056756	0.077554227	0.577818874	33.6	25.9	0.955551697301847	0.0434038924576857
"1885"	"Gm20379"	25.76462997	-1.896172089	1.075352721	-1.763302451	0.077849492	0.577818874	8.3	70.9	0.000201604581262615	1.00015040023888
"1886"	"Gm38125"	3.547310978	-4.651056616	2.635704941	-1.764634783	0.077625166	0.577818874	0	11.8	0.000201604582613479	1.00015040023961
"1887"	"Gm7287"	2.799343025	1.900620483	1.076584187	1.765417425	0.077493637	0.577818874	9.5	5.3	0.955550228702117	0.0434032237301352
"1888"	"Gm7909"	1.981022534	5.243926213	2.972278445	1.76427825	0.077685144	0.577818874	5.4	1.5	0.95555172778237	0.0434039063522815
"1889"	"Hebp2"	1.996445481	5.242516983	2.972293626	1.763795117	0.07776648	0.577818874	3.7	4.9	0.955551534561611	0.043403818169807
"1890"	"Igsf3"	7.729309698	2.753078542	1.560651417	1.764057311	0.077722331	0.577818874	14.3	4.6	0.955551733586842	0.0434039089987318
"1891"	"Itga3"	27.52825412	-1.465038417	0.830238465	-1.764599545	0.077631092	0.577818874	13.3	70	0.000201604581807346	1.00015040023953
"1892"	"Snx29"	54.51931509	1.179811453	0.669102322	1.763275083	0.077854106	0.577818874	54.9	60.8	0.000201810207859143	1.00015050674257
"1893"	"Tns4"	2.449548714	5.242174496	2.969473931	1.765354611	0.077504187	0.577818874	7.1	0.1	0.955551736815953	0.0434039104708235
"1894"	"Mgst1"	3.528982724	-4.643738547	2.636352505	-1.761425507	0.078166411	0.578579859	0	12.5	0.000201604582476644	1.00015040023962
"1895"	"Nr2c2ap"	56.97408589	-0.827670652	0.469820893	-1.761672724	0.078124609	0.578579859	41.9	129.5	0.000201604581868797	1.00015040023961
"1896"	"Spice1"	52.91821607	1.370113634	0.7778212	1.761476332	0.078157815	0.578579859	49.7	50.2	0.95554959229075	0.0434029368539779
"1897"	"Dicer1"	352.8046285	0.377594581	0.214470717	1.760588052	0.078308152	0.579323463	258.5	544.8	0.000201604581868797	1.00015040023961
"1898"	"Gm29609"	3.465597793	-4.617968011	2.62371451	-1.760087842	0.078392914	0.57964497	0	13	0.000201604582439008	1.00015040023966
"1899"	"Gm48236"	4.583780125	-5.019765916	2.852987085	-1.759477266	0.078496478	0.580105096	0	12.5	0.000201604581252623	1.00015040023842
"1900"	"Akna"	229.1552816	-0.386973683	0.220012507	-1.758871295	0.078599372	0.580559781	145	454.7	0.000201604581868797	1.00015040023961
"1901"	"Fut8"	164.3840275	-0.561684684	0.319466845	-1.758193982	0.078714509	0.581104376	96.3	347.2	0.000201604581868797	1.00015040023961
"1902"	"Gm39325"	4.327969936	-4.576469437	2.604121217	-1.757394935	0.078850516	0.581802388	0.1	15.1	0.000201604581893111	1.00015040023929
"1903"	"Hoxd8"	9.244200694	3.856780621	2.195084851	1.757007534	0.078916525	0.581983454	20.1	2	0.955551742065107	0.0434039128639831
"1904"	"Aff3"	42.33835562	1.082771622	0.616626683	1.755959728	0.079095285	0.582935899	36.6	48.2	0.000201649458281328	1.00015041826808
"1905"	"Plxnc1"	95.5005145	0.809900822	0.461281198	1.755763784	0.079128751	0.582935899	105.9	125.5	0.000201615105933861	1.00015040778763
"1906"	"Gm23751"	13.1676283	2.665348303	1.518470164	1.755285264	0.079210526	0.582945083	12.2	6.7	0.955551709353508	0.0434038979512476
"1907"	"Hopxos"	23.92685067	-1.415027898	0.806717231	-1.754056865	0.079420764	0.582945083	9.4	66.5	0.000201604581713588	1.00015040023942
"1908"	"Nudc-ps1"	3.37107795	2.053051738	1.170155617	1.754511715	0.079342864	0.582945083	2.9	5.1	0.000204881510725896	1.00015105320997
"1909"	"Pot1a"	116.7705942	0.67700574	0.385915186	1.754286341	0.079381455	0.582945083	106.1	156.6	0.000201604581868353	1.0001504002396
"1910"	"Rps2-ps9"	47.275617	1.231958523	0.702104568	1.754665302	0.079316574	0.582945083	41	50.4	0.000201691451939656	1.00015043590151
"1911"	"Tma16"	58.04965004	1.304809183	0.74351012	1.754931301	0.079271059	0.582945083	60.1	57.2	0.955551921216961	0.043403994965374
"1912"	"Trp53inp1"	252.7546532	0.404148539	0.230386538	1.754219417	0.079392917	0.582945083	211	394.5	0.000201604581868797	1.00015040023961
"1913"	"Cd37"	808.4631646	-0.229351528	0.130835703	-1.75297356	0.079606546	0.583698151	598.7	1564.1	0.000201604581868797	1.00015040023961
"1914"	"Tax1bp1"	812.2849012	0.342721209	0.195503297	1.753020097	0.079598558	0.583698151	682	1276.6	0.000201604581868797	1.00015040023961
"1915"	"Mesd"	94.31760239	0.78025088	0.44519689	1.752597328	0.07967115	0.5838668	82.7	120.8	0.00020160453398288	1.00015040018177
"1916"	"Sccpdh"	23.81103565	-2.021510146	1.153940321	-1.751832489	0.079802616	0.584525006	8.9	66.4	0.000201604581726078	1.00015040023943
"1917"	"Col6a1"	84.59723702	1.965825446	1.123204882	1.75019311	0.080084997	0.585981675	181.3	53.7	0.95555303163467	0.0434045026866546
"1918"	"Rasl12"	20.24244479	-2.108082898	1.204372403	-1.750358023	0.080056555	0.585981675	5.2	57.7	0.000201604580220116	1.00015040023762
"1919"	"Becn1"	94.35965551	0.513595954	0.293804237	1.748089001	0.080448617	0.587111749	95.1	140.2	0.000201604581889891	1.00015040023962
"1920"	"Gm49017"	4.656249188	-1.663959039	0.95163639	-1.74852397	0.080373339	0.587111749	1.9	11.8	0.000201604688574719	1.0001504002948
"1921"	"Kbtbd11"	281.0336793	0.476897515	0.272785769	1.748249247	0.080420877	0.587111749	288.6	426.9	0.000201604581868797	1.00015040023961
"1922"	"Rpl7a-ps10"	2.927033504	2.85348727	1.632237392	1.748206042	0.080428356	0.587111749	5.9	5	0.955549343808773	0.0434028229229811
"1923"	"Sult2b1"	45.02358581	-1.09005297	0.623298293	-1.748846391	0.080317575	0.587111749	17	107.3	0.000201604574987468	1.00015040023132
"1924"	"2700062C07Rik"	56.47802649	-0.961956772	0.551389225	-1.744605678	0.081053532	0.589075746	31.2	133.5	0.000201604581868242	1.00015040023961
"1925"	"Gm4013"	7.673047649	-2.750737314	1.576512893	-1.744823862	0.081015534	0.589075746	3.1	22.5	0.000201604582554304	1.00015040023966
"1926"	"Gm43080"	2.360609136	5.184168014	2.969997765	1.74551243	0.080895711	0.589075746	6.5	0.1	0.955551735272034	0.0434039097669471
"1927"	"Ikzf1"	1254.092852	0.248732758	0.142474314	1.745807728	0.080844368	0.589075746	970.9	2042.1	0.000201604581868797	1.00015040023961
"1928"	"Mink1"	171.9919004	-0.60619381	0.347180369	-1.746048638	0.080802501	0.589075746	97.1	371.4	0.000201604581868797	1.00015040023961
"1929"	"Rbm27"	348.3872895	0.409533935	0.234717317	1.744796424	0.081020312	0.589075746	285.5	514.3	0.000201604581868797	1.00015040023961
"1930"	"Ski"	565.0024949	-0.332768542	0.190641332	-1.745521486	0.080894136	0.589075746	390.7	1120.8	0.000201604581868797	1.00015040023961
"1931"	"Wars"	115.7509666	0.718979784	0.412058714	1.744847904	0.081011348	0.589075746	109.2	156.8	0.000201604581876569	1.00015040023961
"1932"	"Tprn"	48.48583832	-1.303641241	0.747376521	-1.744289798	0.08110857	0.589170635	27.6	121.5	0.000201604581868908	1.00015040023961
"1933"	"Gm20717"	3.375463374	-4.199977018	2.409251997	-1.74327012	0.081286442	0.590157232	0.1	11.4	0.000201604583852655	1.00015040024011
"1934"	"Prdm1"	265.262508	-0.686618446	0.393970419	-1.742817259	0.081365541	0.590426058	167.1	588.4	0.000201604581868797	1.00015040023961
"1935"	"Hlx"	5.416724441	-2.887522001	1.657055446	-1.742562089	0.081410137	0.590444373	2	15.9	0.000201604587152737	1.00015040024189
"1936"	"Lrrc57"	52.06652102	-1.102222726	0.632794779	-1.741832838	0.081537699	0.591064083	31	130.1	0.000201604581868686	1.00015040023961
"1937"	"Tpm1"	243.8725978	0.508735483	0.292139058	1.741415495	0.081610774	0.591288386	244.6	350.8	0.000201604581868797	1.00015040023961
"1938"	"Selenon"	95.15071786	-0.885536037	0.50861132	-1.741085978	0.081668509	0.591401369	66.9	220.1	0.000201604581868797	1.00015040023961
"1939"	"Btaf1"	177.1673529	0.533317744	0.306392219	1.740637361	0.081747164	0.591524775	147.5	265.6	0.000201604581868797	1.00015040023961
"1940"	"Nicn1"	3.097773662	4.28628461	2.462662916	1.740508042	0.081769849	0.591524775	7.7	5.1	0.955551682799572	0.0434038858271493
"1941"	"Gm49774"	2.378754107	4.585553735	2.636022445	1.739573099	0.081934006	0.591707731	12.2	4	0.955551735628391	0.0434039099293321
"1942"	"Qrsl1"	70.16673155	-0.881363314	0.506696111	-1.739431772	0.081958844	0.591707731	40.2	169.3	0.000201604581868797	1.00015040023961
"1943"	"Rpl35"	237.0497448	0.460104905	0.264411126	1.74011174	0.081839399	0.591707731	198.5	355.9	0.000201604581868797	1.00015040023961
"1944"	"Zcchc24"	54.19814548	1.514569849	0.87074088	1.739403631	0.08196379	0.591707731	72.8	41.7	0.955553031528719	0.0434045026381285
"1945"	"Ergic2"	159.424504	0.651661515	0.374816979	1.738612578	0.082102933	0.591714069	140.9	214.2	0.000201604581868797	1.00015040023961
"1946"	"Gm11998"	4.523889271	-3.121951641	1.795835174	-1.738439967	0.082133319	0.591714069	0.9	15.8	0.00020160458449503	1.0001504002405
"1947"	"Lrch3"	77.48418546	1.10401957	0.635013468	1.738576623	0.082109261	0.591714069	75	83	0.000201641094847271	1.00015042598378
"1948"	"Qrich1"	251.592979	0.570685177	0.32823891	1.738627443	0.082100316	0.591714069	219.5	371.8	0.000201604581868797	1.00015040023961
"1949"	"Faim"	183.5520789	0.393848339	0.226642075	1.737754732	0.08225404	0.592029784	150.4	285.2	0.000201604581868797	1.00015040023961
"1950"	"Gm29093"	29.78829337	2.052668302	1.181320889	1.737604339	0.082280555	0.592029784	34.4	21.1	0.955551736032345	0.0434039101143102
"1951"	"Gm46436"	3.831995742	-4.102584893	2.3612365	-1.737473096	0.082303699	0.592029784	0.2	14.4	0.000201604582584392	1.00015040023964
"1952"	"Gm5626"	2.32883562	4.156684452	2.39288865	1.737098987	0.0823697	0.59220101	5.4	0.4	0.955551725202844	0.0434039051762582
"1953"	"Kcmf1"	303.6022525	0.483692759	0.278503852	1.736754288	0.082430551	0.592335049	253.3	443.1	0.000201604581868797	1.00015040023961
"1954"	"Prpf38a"	134.7594081	-0.69037678	0.397626306	-1.736245236	0.082520482	0.592677811	88.9	287.6	0.000201604581868797	1.00015040023961
"1955"	"Aak1"	774.1006946	-0.29367675	0.169191944	-1.735760833	0.082606132	0.592887736	488.4	1523.2	0.000201604581868797	1.00015040023961
"1956"	"Cldnd2"	4.146010912	-2.101236508	1.211439133	-1.734496147	0.082830089	0.592887736	1.6	12.8	0.000201604622231788	1.00015040026047
"1957"	"Dhx8"	187.318394	0.617427998	0.355935353	1.73466331	0.082800459	0.592887736	147.4	257	0.00020160457228191	1.00015040022807
"1958"	"Gm15464"	2.292286803	3.463818117	1.996064553	1.735323696	0.082683487	0.592887736	2.8	3.4	0.955550611667497	0.0434033977754657
"1959"	"Gm26764"	53.57878012	1.527581168	0.880711054	1.734486199	0.082831852	0.592887736	54.8	47.6	0.955551624668876	0.0434038593727258
"1960"	"Gm35363"	2.658594725	-3.56048658	2.052654824	-1.734576383	0.082815866	0.592887736	0.2	8	0.000201604600967908	1.00015040024849
"1961"	"Ung"	100.3627714	0.924634862	0.533112174	1.734409582	0.082845436	0.592887736	122.1	123.3	0.000201647027364082	1.00015043276139
"1962"	"Mtmr3"	224.6326063	0.488614731	0.281771422	1.734081927	0.082903548	0.592984585	170.4	337.9	0.000201604581861192	1.0001504002396
"1963"	"Rapgef4os3"	4.674655487	4.241591329	2.44633298	1.733856905	0.082943476	0.592984585	9.3	0.8	0.955551736294549	0.0434039102331165
"1964"	"AA543186"	2.299515971	5.147701683	2.970337866	1.733035741	0.083089316	0.593120787	5.2	0.1	0.955551731599779	0.0434039080927654
"1965"	"Postn"	21.46260686	2.504764638	1.445220152	1.733137083	0.083071307	0.593120787	37.2	10.5	0.955552708885644	0.0434043548083419
"1966"	"Ttc7b"	34.43299859	1.609246136	0.928404905	1.733345147	0.083034341	0.593120787	39.4	30.4	0.955551836601828	0.0434039560264316
"1967"	"Aoc2"	18.16741994	2.113070856	1.220022225	1.731993739	0.083274677	0.593236964	12.5	10.9	0.955551586545662	0.0434038419802299
"1968"	"Ap3b1"	513.8921066	0.322357328	0.186066336	1.732486032	0.083187062	0.593236964	415	805.8	0.000201604581868797	1.00015040023961
"1969"	"Cdc42"	1641.67278	0.155483233	0.089770764	1.732003002	0.083273028	0.593236964	1356.2	2750.2	0.000201604581868797	1.00015040023961
"1970"	"Cep170b"	65.13004841	-1.066998586	0.615975713	-1.732208858	0.083236383	0.593236964	38.9	162.5	0.000201604581868797	1.00015040023961
"1971"	"Zdhhc18"	897.3728323	-0.28354745	0.163823937	-1.730805975	0.083486376	0.594443328	566.4	1765.7	0.000201604581868797	1.00015040023961
"1972"	"Ppp4r3b"	459.6164216	0.350345229	0.202601505	1.7292331	0.083767384	0.596141721	372.6	714.5	0.000201604581868797	1.00015040023961
"1973"	"Crebbp"	817.6311606	0.340402458	0.197066044	1.727352163	0.084104436	0.596724803	717.8	1259.8	0.000201604581868797	1.00015040023961
"1974"	"Endod1"	271.3323804	0.412155653	0.238595364	1.727425237	0.084091321	0.596724803	199.1	417.3	0.000201604581865578	1.0001504002396
"1975"	"Myo1e"	102.5324093	-0.971686747	0.562470224	-1.727534555	0.084071705	0.596724803	48.5	246.7	0.000201604581868797	1.00015040023961
"1976"	"Riox2"	12.25001693	-2.872818991	1.662105192	-1.728421886	0.083912614	0.596724803	3.3	38.3	0.00020160458148194	1.00015040023914
"1977"	"Shmt2"	197.4369629	0.59308295	0.343322164	1.727482269	0.084081087	0.596724803	188.8	274.9	0.000201604581868797	1.00015040023961
"1978"	"Uckl1"	113.361469	-0.60955223	0.35273839	-1.728057525	0.083977912	0.596724803	67.3	244.9	0.000201604581868797	1.00015040023961
"1979"	"Gm20432"	2.281801212	5.127058013	2.970534186	1.725971725	0.0843525	0.597665695	4.6	3.3	0.95555169957049	0.0434038934867138
"1980"	"Mapre1"	699.7710043	-0.208244575	0.120641569	-1.726142792	0.084321727	0.597665695	533.1	1338.7	0.000201604581868797	1.00015040023961
"1981"	"Nsmce1"	124.953167	0.669670624	0.38801167	1.725903306	0.08436481	0.597665695	112.3	164.8	0.00020160458186369	1.0001504002396
"1982"	"Sec24b"	161.534223	0.630616601	0.365565261	1.725045208	0.084519326	0.598458233	149.1	231.8	0.000201604581868797	1.00015040023961
"1983"	"Ly6c1"	34.44278488	1.48292055	0.860228515	1.723868163	0.084731646	0.599356814	55	32.2	0.955553030822071	0.0434045023144995
"1984"	"Yeats4"	213.8286595	0.379842053	0.220316101	1.724077594	0.084693836	0.599356814	176.3	317.5	0.000201604581868797	1.00015040023961
"1985"	"Tpgs1"	66.66371803	-0.829682873	0.481451708	-1.72329407	0.08483536	0.599788129	39	153.5	0.000201604581868797	1.00015040023961
"1986"	"Mcat"	28.79489934	-1.548904518	0.898957144	-1.723001511	0.084888252	0.599859882	14.2	72.8	0.000201604581820558	1.00015040023955
"1987"	"Gm47121"	3.734120299	-3.261821587	1.895031241	-1.721249505	0.085205558	0.599987356	0.5	10.5	0.00020160459350238	1.00015040024391
"1988"	"Gm48624"	11.09119038	-2.792664109	1.622276937	-1.721447211	0.085169703	0.599987356	3	34.4	0.000201604581317016	1.00015040023893
"1989"	"Gm5491"	16.48810297	2.921001037	1.695688281	1.722604956	0.084959988	0.599987356	14.8	6.2	0.955551729968784	0.0434039073492336
"1990"	"Gm8292"	29.02402112	1.29513938	0.752141504	1.721935796	0.08508115	0.599987356	27.9	30.4	0.000203999128098986	1.00015085758891
"1991"	"Herpud1"	93.21392108	0.74360078	0.431743844	1.722319355	0.085011683	0.599987356	86.6	123	0.000201604583643433	1.00015040024098
"1992"	"Stk38"	345.4430203	0.355434078	0.206416298	1.721928364	0.085082496	0.599987356	273.6	549.2	0.000201604581868797	1.00015040023961
"1993"	"Zkscan1"	103.1007656	0.80434616	0.467288672	1.721304642	0.085195558	0.599987356	96.8	133.9	0.000201604596667626	1.00015040025289
"1994"	"Cmtm7"	123.4326069	-0.62880413	0.365663231	-1.719626359	0.085500382	0.601226848	83.7	263.7	0.000201604581868797	1.00015040023961
"1995"	"Kif22"	82.39439743	-0.649808486	0.377889463	-1.719572914	0.085510103	0.601226848	49.4	181	0.000201604581868631	1.00015040023961
"1996"	"Stxbp3"	155.2247461	0.704626217	0.409751426	1.719643114	0.085497334	0.601226848	111.2	209.3	0.000201602391680711	1.0001503981049
"1997"	"Ppp1r14b"	143.8426523	0.601859878	0.350128351	1.718969277	0.085619966	0.601430646	129.3	201.5	0.000201604581868797	1.00015040023961
"1998"	"Rpl18-ps1"	13.60088995	-1.219799039	0.709621683	-1.718942738	0.085624799	0.601430646	12.1	31.7	0.000201604587510784	1.00015040024267
"1999"	"Cdkn1b"	617.9463976	0.362266722	0.21083897	1.718215198	0.08575737	0.602060499	462.5	948.4	0.000201604581868797	1.00015040023961
"2000"	"6330549D23Rik"	2.762178691	-4.290297916	2.499537941	-1.716436404	0.086082198	0.60223209	2.8	9.4	0.000201604592646121	1.00015040024531
"2001"	"Ccdc86"	60.87572541	-1.105481026	0.643998536	-1.716589345	0.086054231	0.60223209	43	140.6	0.000201604581868797	1.00015040023961
"2002"	"Emc7"	333.8566765	0.472369467	0.27511575	1.716984462	0.085982011	0.60223209	268	510.7	0.000201604581868797	1.00015040023961
"2003"	"Gm11895"	3.901968346	-3.500006171	2.038510374	-1.716943027	0.085989582	0.60223209	0.4	13.6	0.000201604584482207	1.00015040024025
"2004"	"Gm15764"	2.702675634	-4.260072697	2.481833787	-1.716502015	0.086070199	0.60223209	6.3	10.5	0.000201604603370598	1.00015040025092
"2005"	"Gm37370"	60.2908888	1.335049603	0.777490138	1.71712738	0.085955901	0.60223209	46.5	57.3	0.000201656949668894	1.00015041953163
"2006"	"Ninj2"	3.398059986	-2.76934035	1.61313988	-1.716739127	0.086026848	0.60223209	5.8	11.2	0.000201604681848433	1.00015040029354
"2007"	"Dock5"	153.8280501	-0.703472055	0.410059534	-1.715536399	0.086246928	0.602483517	105.8	345.3	0.000201604581868797	1.00015040023961
"2008"	"Tmem218"	44.58822496	1.33185723	0.776329553	1.715582286	0.086238523	0.602483517	45.6	46.7	0.954556678620351	0.0437825123616859
"2009"	"Zfp369"	95.20309191	0.554688975	0.323280811	1.715811633	0.086196524	0.602483517	75.9	137.5	0.000201604425272617	1.00015040005452
"2010"	"1700056E22Rik"	12.31624992	2.77796738	1.620595819	1.714164228	0.086498569	0.602743979	20.8	7.7	0.955551740029233	0.0434039119364431
"2011"	"Arf1"	409.8969988	-0.426795515	0.248947533	-1.714399455	0.086455389	0.602743979	296.5	831.3	0.000201604581868797	1.00015040023961
"2012"	"Cdk13"	594.1139121	0.401183066	0.234014663	1.71435012	0.086464443	0.602743979	474.4	908.9	0.000201604581868797	1.00015040023961
"2013"	"Chst12"	196.1429363	-0.481411156	0.280771869	-1.714598966	0.086418779	0.602743979	124.5	399.8	0.000201604581868797	1.00015040023961
"2014"	"Svip"	6.356558465	-3.402549729	1.984963798	-1.714162108	0.086498958	0.602743979	0.7	19.5	0.00020160458020313	1.00015040023714
"2015"	"Ppp2r5c"	668.3244997	-0.28050526	0.163728568	-1.713233454	0.086669599	0.603394671	409.3	1319.3	0.000201604581868797	1.00015040023961
"2016"	"Tbc1d5"	134.7149123	0.467571246	0.272924976	1.713185991	0.086678328	0.603394671	105.1	194.7	0.000201604564774249	1.00015040021906
"2017"	"Nup160"	74.11857131	1.000565603	0.584254504	1.712550945	0.086795185	0.603609327	89.1	89.4	0.000201910139344397	1.0001505479689
"2018"	"Tef"	82.54821248	0.749663723	0.437704087	1.712718125	0.086764409	0.603609327	73.4	109.9	0.000201604567209523	1.00015040022136
"2019"	"Gga2"	5.450563346	-2.717667715	1.588481364	-1.710859049	0.087107136	0.604580388	1.1	14.3	0.000201604586451964	1.00015040023833
"2020"	"Lactb"	90.17714563	0.816504383	0.477058047	1.711540948	0.086981299	0.604580388	86.8	111.3	0.000201614928374894	1.00015040766586
"2021"	"Tomm70a"	346.7711572	0.578901123	0.338315503	1.711127977	0.087057491	0.604580388	313.6	501.8	0.000201604581868797	1.00015040023961
"2022"	"Uros"	26.99349991	1.246942894	0.728794053	1.710967439	0.087087124	0.604580388	20.5	28.8	0.000201933803444521	1.00015049532177
"2023"	"Cd101"	52.43077541	-1.070867224	0.626094785	-1.71039154	0.087193494	0.604880623	28.5	134.5	0.000201604581868797	1.00015040023961
"2024"	"Clint1"	652.9367392	0.391438736	0.229139938	1.708295543	0.087581518	0.605456603	515.3	1003	0.000201604581868797	1.00015040023961
"2025"	"Gm45534"	11.65338898	-2.498929885	1.46265624	-1.708487487	0.087545926	0.605456603	4.9	33.4	0.000201604581632653	1.00015040023927
"2026"	"Gpr132"	388.2902683	0.495669194	0.289926533	1.709637227	0.087332977	0.605456603	329.3	572.4	0.000201604581868797	1.00015040023961
"2027"	"Sec13"	174.5029636	-0.372250451	0.217935131	-1.70807914	0.087621659	0.605456603	130.4	347.4	0.000201604581868797	1.00015040023961
"2028"	"Sos1"	150.4240005	0.44296226	0.259328509	1.708112469	0.087615476	0.605456603	116	232.4	0.000201604581794357	1.00015040023952
"2029"	"Srsf10"	343.1677954	0.364450958	0.213308654	1.708561518	0.087532202	0.605456603	295.7	533.4	0.000201604581868797	1.00015040023961
"2030"	"Tra2b"	907.7276917	0.30530119	0.178683915	1.708610369	0.087523147	0.605456603	771.5	1472.6	0.000201604581868797	1.00015040023961
"2031"	"Traf3ip2"	50.05865505	0.885370734	0.517973562	1.709297153	0.08739592	0.605456603	45.7	59.9	0.000201621897037207	1.00015040653847
"2032"	"Parp10"	311.8498267	0.481499221	0.281955163	1.707715563	0.087689133	0.605594912	254.4	477.2	0.000201604581868797	1.00015040023961
"2033"	"Prpsap1"	120.7344377	-0.748853872	0.438565791	-1.707506348	0.087727979	0.605594912	74.4	262.7	0.000201604581868797	1.00015040023961
"2034"	"Ubp1"	247.8991646	0.472111717	0.276550653	1.707143746	0.087795338	0.605761933	217	358.8	0.000201604581868797	1.00015040023961
"2035"	"Nipal1"	31.04698414	1.921377525	1.125746757	1.706758215	0.087867002	0.605958479	31.2	24.4	0.955551675572176	0.0434038825530654
"2036"	"Gm7380"	12.55908349	1.822018501	1.067768288	1.706380047	0.087937343	0.606145714	10.8	10.2	0.95555100324618	0.0434035760759042
"2037"	"Gzme"	99.57152694	-1.13035402	0.662541088	-1.706088936	0.087991522	0.606221415	40	223.6	0.000201604533646649	1.00015040018187
"2038"	"Arid4b"	887.5449683	0.364278894	0.213817931	1.703687299	0.088439522	0.606950663	656.9	1381.2	0.000201604581868797	1.00015040023961
"2039"	"Atp6v1g2"	31.61774137	1.199937623	0.704456015	1.703353506	0.088501933	0.606950663	30.7	35.1	0.000202308548385821	1.00015054859321
